updateTime,oldRating,newRating,rank
1499798700,1500,1503,1282
1501518900,1503,1451,2563
1503075900,1451,1408,2768
1504544700,1408,1462,1047
1506342900,1462,1487,970
1511106900,1487,1462,1627
1511719500,1462,1358,1802
1513015500,1358,1480,453
1513431300,1480,1505,947
1513704900,1505,1545,843
1514399700,1545,1593,614
1514477100,1593,1646,417
1515855900,1646,1682,454
1516473300,1682,1717,885
1519065300,1717,1733,481
1519581900,1733,1809,123
1520184900,1809,1801,388
1520703300,1801,1735,1070
1523126100,1735,1792,502
1525016700,1792,1694,1296
1525106400,1694,1603,2016
1525799100,1603,1684,447
1527443400,1684,1657,1206
1527615900,1657,1650,859
1528731300,1650,1745,319
1529175900,1745,1594,3689
1529775300,1594,1579,1509
1530815700,1579,1519,2009
1531500300,1519,1444,3032
1531586100,1444,1588,358
1531758900,1588,1496,2781
1532624700,1496,1678,115
1534001700,1678,1726,422
1534524600,1726,1748,1026
1534693800,1748,1659,3005
1535906100,1659,1696,1029
1541364000,1696,1717,330
1544466900,1717,1676,984
1544891700,1676,1622,1766
1545579300,1622,1826,28
1546014900,1826,1809,813
1546190100,1809,1822,1410
1546623900,1822,1901,557
1546715100,1901,1922,361
1548524100,1922,1875,812
1549215300,1875,1741,3877
1550343900,1741,1765,452
1551029700,1765,1865,87
1556123700,1865,1952,131
1556996700,1952,1953,288
1557421500,1953,1914,616
1557678900,1914,1967,222
1558112700,1967,1958,387
1558892100,1958,1955,312
1559916300,1955,1928,430
1563122700,1928,1938,384
1563645900,1938,1948,705
1564943700,1948,1888,1037
1565195700,1888,1897,436
1573059900,1897,1806,1940
1576393500,1806,1784,566
1578240300,1784,1872,147
1583254200,1872,1880,1259
1583771700,1880,1848,1264
1584637500,1848,1738,5638
1585670700,1738,1854,375
1585931700,1854,1932,227
1586363700,1932,1945,837
1586536500,1945,1983,515
1586970300,1983,1940,1104
1589295900,1940,1896,1055
1589636100,1896,1928,700
1600533300,1928,1884,1429
1602352200,1884,1868,1712
1602948900,1868,1804,2712
1608222900,1804,1855,532
1609173300,1855,1859,905
1609864500,1859,1881,524
1611852600,1881,1975,108
1612716600,1975,1981,707
1613148600,1981,1816,5752
1613667000,1816,1773,2245
1614530100,1773,1739,2766
1616086200,1739,1773,718
1616340900,1773,1918,46
1617468600,1918,1989,477
1618158900,1989,2055,128
1618245300,2055,1999,843
1618591800,1999,1957,748
1618847400,1957,1956,493
1619976900,1956,2020,618
1620406200,2020,1985,930
1622393400,1985,1909,2226
1623609300,1909,1721,5556
1625324700,1721,1727,1394
1626021300,1727,1856,126
1629996600,1856,1835,1136
1632155700,1835,1908,286
1633278900,1908,2020,92
1633713600,2020,2074,118
1635611700,2074,1999,895
1636734900,1999,2044,175
1638376500,2044,2066,224
1639329300,2066,1912,2667
1639668900,1912,1774,3839
1640365500,1774,1844,820
1662136500,1844,1861,576
1664123700,1861,1923,239
1665419700,1923,1889,946
1672158900,1889,1848,1234
1672765500,1848,1850,1600
